Analysis Type:	PANTHER Overrepresentation Test (Released 20171205)
Annotation Version and Release Date:	GO Ontology database  Released 2018-08-09
Analyzed List:	Client Text Box Input (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	BINOMIAL
Bonferroni correction:	true
Bonferroni count:	8494
GO Term	SizeDE	genes	expected	Direction	Enrichment	P-value 
NADH dehydrogenase complex assembly (GO:0010257)	42	34	12.24	+	2.78	1.97E-03
mitochondrial respiratory chain complex I assembly (GO:0032981)	42	34	12.24	+	2.78	1.97E-03
DNA-templated transcription, initiation (GO:0006352)	60	42	17.48	+	2.40	3.81E-03
translational initiation (GO:0006413)	55	37	16.03	+	2.31	4.24E-02
mRNA catabolic process (GO:0006402)	112	74	32.64	+	2.27	2.74E-06
nuclear-transcribed mRNA catabolic process (GO:0000956)	91	60	26.52	+	2.26	1.29E-04
translation (GO:0006412)	293	193	85.38	+	2.26	4.17E-20
negative regulation of protein ubiquitination (GO:0031397)	70	46	20.40	+	2.26	6.18E-03
positive regulation of translation (GO:0045727)	108	70	31.47	+	2.22	1.73E-05
peptide biosynthetic process (GO:0043043)	312	201	90.91	+	2.21	5.97E-20
mitochondrial respiratory chain complex assembly (GO:0033108)	73	47	21.27	+	2.21	8.17E-03
negative regulation of protein modification by small protein conjugation or removal (GO:1903321)	80	51	23.31	+	2.19	3.87E-03
positive regulation of cellular amide metabolic process (GO:0034250)	127	80	37.01	+	2.16	4.62E-06
peptidyl-threonine phosphorylation (GO:0018107)	72	45	20.98	+	2.14	2.89E-02
RNA catabolic process (GO:0006401)	137	85	39.92	+	2.13	2.77E-06
positive regulation of tumor necrosis factor superfamily cytokine production (GO:1903557)	83	51	24.19	+	2.11	1.09E-02
regulation of type I interferon production (GO:0032479)	75	46	21.85	+	2.10	3.65E-02
positive regulation of tumor necrosis factor production (GO:0032760)	82	50	23.89	+	2.09	1.70E-02
electron transport chain (GO:0022900)	82	50	23.89	+	2.09	1.70E-02
chromatin remodeling (GO:0006338)	122	74	35.55	+	2.08	9.07E-05
glycerophospholipid biosynthetic process (GO:0046474)	93	56	27.10	+	2.07	6.32E-03
nuclear export (GO:0051168)	98	59	28.56	+	2.07	3.28E-03
Golgi organization (GO:0007030)	110	66	32.05	+	2.06	7.93E-04
protein export from nucleus (GO:0006611)	90	54	26.23	+	2.06	1.09E-02
regulation of nucleocytoplasmic transport (GO:0046822)	127	76	37.01	+	2.05	1.00E-04
negative regulation of protein serine/threonine kinase activity (GO:0071901)	107	64	31.18	+	2.05	1.36E-03
protein-containing complex disassembly (GO:0032984)	104	62	30.30	+	2.05	2.34E-03
phospholipid biosynthetic process (GO:0008654)	143	85	41.67	+	2.04	1.94E-05
response to UV (GO:0009411)	135	80	39.34	+	2.03	6.37E-05
amide biosynthetic process (GO:0043604)	398	235	115.97	+	2.03	5.85E-19
peptidyl-lysine acetylation (GO:0018394)	100	59	29.14	+	2.02	6.16E-03
histone acetylation (GO:0016573)	92	54	26.81	+	2.01	2.04E-02
glycerolipid biosynthetic process (GO:0045017)	111	65	32.34	+	2.01	2.26E-03
positive regulation of protein binding (GO:0032092)	106	62	30.89	+	2.01	4.34E-03
peptide metabolic process (GO:0006518)	420	245	122.39	+	2.00	3.28E-19
ER to Golgi vesicle-mediated transport (GO:0006888)	115	67	33.51	+	2.00	1.79E-03
mRNA transport (GO:0051028)	103	60	30.01	+	2.00	7.43E-03
cellular respiration (GO:0045333)	134	78	39.05	+	2.00	2.00E-04
positive regulation of NF-kappaB transcription factor activity (GO:0051092)	122	71	35.55	+	2.00	8.28E-04
internal protein amino acid acetylation (GO:0006475)	100	58	29.14	+	1.99	1.27E-02
RNA transport (GO:0050658)	135	78	39.34	+	1.98	2.69E-04
nucleic acid transport (GO:0050657)	135	78	39.34	+	1.98	2.69E-04
internal peptidyl-lysine acetylation (GO:0018393)	97	56	28.27	+	1.98	2.17E-02
establishment of RNA localization (GO:0051236)	137	79	39.92	+	1.98	2.39E-04
regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032434)	120	69	34.97	+	1.97	1.90E-03
negative regulation of translation (GO:0017148)	120	69	34.97	+	1.97	1.90E-03
mRNA splicing, via spliceosome (GO:0000398)	182	104	53.03	+	1.96	2.83E-06
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	182	104	53.03	+	1.96	2.83E-06
RNA splicing, via transesterification reactions (GO:0000375)	182	104	53.03	+	1.96	2.83E-06
autophagy (GO:0006914)	198	113	57.70	+	1.96	5.40E-07
process utilizing autophagic mechanism (GO:0061919)	198	113	57.70	+	1.96	5.40E-07
positive regulation of chromosome organization (GO:2001252)	170	97	49.54	+	1.96	1.16E-05
regulation of translation (GO:0006417)	298	170	86.84	+	1.96	1.01E-11
cell cycle phase transition (GO:0044770)	128	73	37.30	+	1.96	1.17E-03
rRNA metabolic process (GO:0016072)	201	114	58.57	+	1.95	6.36E-07
regulation of intracellular protein transport (GO:0033157)	217	123	63.23	+	1.95	1.21E-07
protein acetylation (GO:0006473)	120	68	34.97	+	1.94	3.82E-03
negative regulation of cellular amide metabolic process (GO:0034249)	138	78	40.21	+	1.94	6.40E-04
ribonucleoside triphosphate metabolic process (GO:0009199)	193	109	56.24	+	1.94	2.05E-06
mitotic cell cycle phase transition (GO:0044772)	119	67	34.68	+	1.93	5.73E-03
phosphatidylinositol metabolic process (GO:0046488)	119	67	34.68	+	1.93	5.73E-03
coenzyme biosynthetic process (GO:0009108)	135	76	39.34	+	1.93	1.08E-03
ribonucleoprotein complex assembly (GO:0022618)	208	117	60.61	+	1.93	5.85E-07
histone modification (GO:0016570)	315	177	91.79	+	1.93	9.99E-12
regulation of ubiquitin-dependent protein catabolic process (GO:2000058)	146	82	42.54	+	1.93	3.93E-04
regulation of cellular amide metabolic process (GO:0034248)	342	192	99.66	+	1.93	6.81E-13
ribonucleoprotein complex subunit organization (GO:0071826)	221	124	64.40	+	1.93	1.88E-07
regulation of protein ubiquitination (GO:0031396)	189	106	55.07	+	1.92	5.17E-06
purine ribonucleoside triphosphate metabolic process (GO:0009205)	189	106	55.07	+	1.92	5.17E-06
purine nucleoside triphosphate metabolic process (GO:0009144)	198	111	57.70	+	1.92	2.12E-06
protein acylation (GO:0043543)	161	90	46.91	+	1.92	1.11E-04
positive regulation of chromatin organization (GO:1905269)	102	57	29.72	+	1.92	4.55E-02
rRNA processing (GO:0006364)	179	100	52.16	+	1.92	1.88E-05
negative regulation of protein kinase activity (GO:0006469)	188	105	54.78	+	1.92	7.70E-06
mRNA metabolic process (GO:0016071)	507	283	147.74	+	1.92	6.97E-20
